id,centrality,word,degree
0,0.002965429336940405,der,114
1,0.003069479489113753,in,118
2,0.002081003043466951,und,80
3,0.006893322581484275,kategorie,265
4,0.0037978305543271856,die,146
5,0.002081003043466951,von,80
6,0.004005930858673881,im,154
7,0.003745805478240512,den,144
8,0.0033296048695471217,ein,128
9,0.0026012538043336886,des,100
10,0.003069479489113753,mit,118
11,0.002367140961943657,ist,91
12,0.003069479489113753,weblinks,118
13,0.004031943396717218,das,155
14,0.0029394167988970685,dem,113
15,0.004578206695627292,wurde,176
16,0.002965429336940405,als,114
17,0.003069479489113753,auf,118
18,0.0033035923315037847,eine,127
19,0.0019769528912936037,für,76
20,0.0031995421793304373,an,123
21,0.004057955934760555,einzelnachweise,156
22,0.004031943396717218,zu,155
23,0.004656244309757303,nach,179
24,0.003277579793460448,war,126
25,0.004760294461930651,sich,183
26,0.0033556174075904588,er,129
27,0.004083968472803892,auch,157
28,0.0035116926358504798,am,135
29,0.003485680097807143,aus,134
30,0.0038758681684571963,bei,149
31,0.004188018624977239,bis,161
32,0.004448144005410608,zum,171
33,0.0031475171032437636,einer,121
34,0.003745805478240512,zur,144
35,0.004526181619540618,es,174
36,0.0028873917228103944,einem,111
37,0.0027313164945503734,durch,105
38,0.003771818016283849,sie,145
39,0.003745805478240512,über,144
40,0.004109981010847228,einen,158
41,0.009286476081471269,geboren,357
42,0.0030954920271570895,unter,119
43,0.002783341570637047,um,107
44,0.001378664516296855,literatur,53
45,0.004031943396717218,jahr,155
46,0.0038758681684571963,vom,149
47,0.00777774887495773,nicht,299
48,0.005800795983664126,mann,223
49,0.0031735296412871003,sind,122
50,0.00392789324454387,wird,151
51,0.0026272663423770257,s,101
52,0.00509845745649403,vor,196
53,0.002081003043466951,sowie,80
54,0.004344093853237261,ab,167
55,0.003719792940197175,werden,143
56,0.003537705173893817,seit,136
57,0.0014827146684702026,oder,57
58,0.0033035923315037847,seine,127
59,0.005306557760840725,zwei,204
60,0.00468225684780064,wurden,180
61,0.003771818016283849,geschichte,145
62,0.0032255547173737744,wie,124
63,0.004188018624977239,jahre,161
64,0.0014567021304268657,a,56
65,0.0049683947662773455,sein,191
66,0.0024191660380303306,leben,93
67,0.0024711911141170042,seiner,95
68,0.0022370782717269725,jahren,86
69,0.0018989152771635928,eines,73
70,0.006867310043440938,noch,264
71,0.006737247353224254,nur,259
72,0.006190984054314179,dieser,238
73,0.0039539057825872075,zwischen,152
74,0.005618708217360768,hatte,216
75,0.004786306999973988,hat,184
76,0.006164971516270843,ersten,237
77,0.00543662045105741,aber,209
78,0.0056707332934474415,diese,218
79,0.006425096896704212,dass,247
80,0.010352990141248082,de,398
81,0.005202507608667377,jahrhundert,200
82,0.004864344614103998,teil,187
83,0.0033556174075904588,zeit,129
84,0.018000676325989128,of,692
85,0.004890357152147335,so,188
86,0.005228520146710714,drei,201
87,0.007543636032567698,isbn,290
88,0.004916369690190672,später,189
89,0.004786306999973988,während,184
90,0.004396118929323934,waren,169
91,0.004214031163020576,dort,162
92,0.003537705173893817,beim,136
93,0.0117056421195016,gestorben,450
94,0.01178367973363161,deutscher,453
95,0.006295034206487527,jedoch,242
96,0.006737247353224254,erste,259
97,0.004188018624977239,seinen,161
98,0.02398356007595661,the,922
99,0.0033035923315037847,seinem,127
100,0.007309523190177665,wieder,281
101,0.006867310043440938,ende,264
102,0.004708269385843977,etwa,181
103,0.0018208776630335823,mai,70
104,0.0024972036521603413,stadt,96
105,0.0019249278152069296,august,74
106,0.0028353666467237208,da,109
107,0.0017948651249902452,deutschland,69
108,0.0063470592825742005,bereits,244
109,0.0026792914184636993,januar,103
110,0.003563717711937154,heute,137
111,0.0022370782717269725,märz,86
112,0.002263090809770309,oktober,87
113,0.003563717711937154,ihre,137
114,0.0024191660380303306,deutschen,93
115,0.006477121972790885,mehr,249
116,0.013058294097755118,liegt,502
117,0.0039539057825872075,gegen,152
118,0.0016908149728168977,juni,65
119,0.0035897302499804905,wo,138
120,0.0020029654293369403,september,77
121,0.0019249278152069296,april,74
122,0.002367140961943657,juli,91
123,0.0017948651249902452,dezember,69
124,0.0018468902010769191,november,71
125,0.0049683947662773455,weitere,191
126,0.0026792914184636993,siehe,103
127,0.005878833597794137,zweiten,226
128,0.004916369690190672,dann,189
129,0.005358582836927399,kam,206
130,0.0021330281195536247,u,82
131,0.0031735296412871003,man,122
132,0.005410607913014073,vier,208
133,0.003771818016283849,erhielt,145
134,0.0018989152771635928,februar,73
135,0.0020029654293369403,ihm,77
136,0.0056707332934474415,anderen,218
137,0.004864344614103998,m,187
138,0.0019249278152069296,d,74
139,0.006841297505397602,alle,263
140,0.00275732903259371,dessen,106
141,0.003979918320630544,b,153
142,0.005358582836927399,neben,206
143,0.005384595374970736,konnte,207
144,0.005826808521707463,dabei,224
145,0.006164971516270843,damit,237
146,0.0029134042608537315,zusammen,112
147,0.008402049787997815,mitglied,323
148,0.006503134510834222,diesem,250
149,0.002861379184767058,ihrer,110
150,0.0018208776630335823,i,70
151,0.0039018807065005334,berlin,150
152,0.006581172124964233,stand,253
153,0.0036417553260671646,ihr,140
154,0.0049944073043206826,haben,192
155,0.004162006086933902,jpg,160
156,0.005904846135837473,zunächst,227
157,0.004344093853237261,deutsche,167
158,0.005124469994537367,beiden,197
159,0.0076997112608277185,us,296
160,0.006295034206487527,hier,242
161,0.0058528210597508,ort,225
162,0.004916369690190672,zurück,189
163,0.0042920687771505865,band,165
164,0.006060921364097495,gab,233
165,0.005826808521707463,ebenfalls,224
166,0.0030954920271570895,deren,119
167,0.008818250396691206,gemeinde,339
168,0.00468225684780064,bekannt,180
169,0.004526181619540618,datei,174
170,0.004578206695627292,begann,176
171,0.021096168353146216,and,811
172,0.004422131467367271,kann,170
173,0.002965429336940405,ihn,114
174,0.005904846135837473,frau,227
175,0.003719792940197175,namen,143
176,0.0063210467445308635,dieses,243
177,0.007595661108654371,keine,292
178,0.003745805478240512,ihren,144
179,0.015269359831438753,universität,587
180,0.00835002471191114,verlag,321
181,0.005358582836927399,gibt,206
182,0.005462632989100747,nachdem,210
183,0.0024451785760736676,e,94
184,0.00275732903259371,neue,106
185,0.00777774887495773,befindet,299
186,0.007647686184741045,sohn,294
187,0.0024711911141170042,ohne,95
188,0.0027053039565070364,anderem,104
189,0.0042660562391072495,familie,164
190,0.004135993548890565,nahm,159
191,0.006451109434747549,erst,248
192,0.0033816299456337954,neuen,130
193,0.0060088962880108215,einige,231
194,0.0021850531956402984,v,84
195,0.005956871211924147,erstmals,229
196,0.0030954920271570895,was,119
197,0.0029134042608537315,bzw,112
198,0.0056447207554041045,sehr,217
199,0.005592695679317431,fünf,215
200,0.0012746143641235075,großen,49
201,0.0024711911141170042,ins,95
202,0.004890357152147335,denen,188
203,0.0035116926358504798,können,135
204,0.013812657701011888,studierte,531
205,0.006763259891267591,liste,260
206,0.005202507608667377,danach,200
207,0.005904846135837473,gehört,227
208,0.006893322581484275,person,265
209,0.0032255547173737744,gegründet,124
210,0.005254532684754051,schon,202
211,0.0026272663423770257,c,101
212,0.011913742423848295,platz,458
213,0.0024972036521603413,allem,96
214,0.005254532684754051,dies,202
215,0.006503134510834222,name,250
216,0.0017428400489035716,große,67
217,0.0016908149728168977,steht,65
218,0.003771818016283849,andere,145
219,0.005358582836927399,selbst,206
220,0.005800795983664126,worden,223
221,0.005254532684754051,außerdem,202
222,0.007075410347787634,englisch,272
223,0.002809354108680384,ii,108
224,0.00392789324454387,mini,151
225,0.004188018624977239,statt,161
226,0.008141924407564446,new,313
227,0.005800795983664126,gehörte,223
228,0.0033296048695471217,wegen,128
229,0.004318081315193924,ging,166
230,0.0036937804021538382,trat,142
231,0.005202507608667377,mehrere,200
232,0.0049683947662773455,weiteren,191
233,0.005306557760840725,st,204
234,0.0036937804021538382,aufgrund,142
235,0.007049397809744297,hrsg,271
236,0.013864682777098562,kirche,533
237,0.005202507608667377,münchen,200
238,0.006399084358660875,insgesamt,246
239,0.0049944073043206826,h,192
240,0.002159040657596962,genannt,83
241,0.004396118929323934,website,169
242,0.006164971516270843,allerdings,237
243,0.003563717711937154,jahrhunderts,137
244,0.005228520146710714,peter,201
245,0.0026792914184636993,führte,103
246,0.004031943396717218,dazu,155
247,0.0026532788804203627,seines,102
248,0.008584137554301173,arbeitete,330
249,0.002549228728247015,bezeichnet,98
250,0.005410607913014073,zudem,208
251,0.0053325702988840625,immer,205
252,0.0017688525869469084,titel,68
253,0.005254532684754051,diesen,202
254,0.006373071820617538,anfang,245
255,0.003537705173893817,besteht,136
256,0.005410607913014073,viele,208
257,0.005592695679317431,l,215
258,0.004656244309757303,fand,179
259,0.003043466951070416,neu,117
260,0.007283510652134329,tätig,280
261,0.005280545222797388,letzten,203
262,0.014072783081445257,la,541
263,0.005826808521707463,karl,224
264,0.009234451005384595,spielte,355
265,0.006945347657570949,weiter,267
266,0.005696745831490779,sechs,219
267,0.002861379184767058,ihrem,110
268,0.008167936945607784,friedrich,314
269,0.010665140597768125,hans,410
270,0.004474156543453945,anschließend,172
271,0.0013266394402101814,land,51
272,0.0022370782717269725,schloss,86
273,0.004552194157583955,mitte,175
274,0.004422131467367271,tod,170
275,0.0035897302499804905,europa,138
276,0.0033296048695471217,kurz,128
277,0.001196576749993497,seite,46
278,0.0033035923315037847,sondern,127
279,0.0003901880706500533,auswahl,15
280,0.005228520146710714,schließlich,201
281,0.011549566891241578,gewann,444
282,0.0060088962880108215,staaten,231
283,0.0021850531956402984,art,84
284,0.00777774887495773,karriere,299
285,0.001872902739120256,deutsch,72
286,0.005618708217360768,mal,216
287,0.005982883749967484,wenn,230
288,0.0053325702988840625,folgenden,205
289,0.011341466586894883,km,436
290,0.006034908826054158,rund,232
291,0.0033296048695471217,erfolgte,128
292,0.009052363239081236,lage,348
293,0.006060921364097495,region,233
294,0.0046302317717139664,wobei,178
295,0.012433993184715032,einwohner,478
296,0.0013526519782535182,z,52
297,0.0024711911141170042,f,95
298,0.004240043701063912,paul,163
299,0.004656244309757303,jeweils,179
300,0.0060088962880108215,zweite,231
301,0.0060088962880108215,blieb,231
302,0.0037978305543271856,verschiedenen,146
303,0.00502041984236402,hatten,193
304,0.003485680097807143,offizielle,134
305,0.005540670603230757,michael,213
306,0.0036417553260671646,werke,140
307,0.006503134510834222,frankreich,250
308,0.004604219233670629,nr,177
309,0.006190984054314179,darauf,238
310,0.00392789324454387,personen,151
311,0.008141924407564446,führt,313
312,0.0013266394402101814,insbesondere,51
313,0.003537705173893817,übernahm,136
314,0.016778087037952295,politiker,645
315,0.01571157297817548,john,604
316,0.0018989152771635928,soll,73
317,0.002965429336940405,sollte,114
318,0.0023151158858569832,erhalten,89
319,0.008141924407564446,davon,313
320,0.012381968108628358,norden,476
321,0.005384595374970736,beide,207
322,0.004734281923887314,musste,182
323,0.0029394167988970685,gruppe,113
324,0.003719792940197175,lang,143
325,0.006477121972790885,weltkrieg,249
326,0.005878833597794137,gebiet,226
327,0.007465598418437687,wilhelm,287
328,0.0033556174075904588,n,129
329,0.0017948651249902452,quellen,69
330,0.0056707332934474415,innerhalb,218
331,0.0009884764456468019,usa,38
